county,survey_date,avg_rain_3m,survey_round,raw_date,gam_percent,emergency_or_not_emergency,year,month,start_window,end_window,events_3m,fatalities_3m,displaced_3m,price_3m,wasting_binary
Terekeka,2019-07-01,96.69948583776328,r24,Jul-19,13.1,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Terekeka,2019-12-01,109.45064797614708,r25,Dec-19,2.6,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Terekeka,2020-09-01,130.8337117877724,r26,Sep-20,6.7,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Terekeka,2021-10-01,124.1683003502972,r27,Oct-21,6.7,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Terekeka,2022-08-01,92.78836263952286,r28,Aug-22,7.9,No,2022,Aug,2022-05-01,2022-08-01,1,0,0,NA,0
Terekeka,2023-07-01,86.32841737952486,r29,Jul-23,11,No,2023,Jul,2023-04-01,2023-07-01,8,14,1724,NA,0
Terekeka,2024-07-01,82.32844490301335,r30,Jul-24,9.7,No,2024,Jul,2024-04-01,2024-07-01,0,0,0,NA,0
Tonj East,2019-07-01,87.60967007675151,r24,Jul-19,12.4,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Tonj East,2019-12-01,96.43035757704676,r25,Dec-19,9.5,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Tonj East,2020-09-01,146.37663497814032,r26,Sep-20,3.8,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Tonj East,2021-10-01,139.0499288546888,r27,Oct-21,3.8,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Tonj East,2022-08-01,94.69002846064404,r28,Aug-22,7.9,No,2022,Aug,2022-05-01,2022-08-01,13,15,6312,NA,0
Tonj East,2023-07-01,80.11900341016609,r29,Jul-23,16,Yes,2023,Jul,2023-04-01,2023-07-01,52,178,46105,NA,1
Tonj East,2024-07-01,68.34457629915516,r30,Jul-24,16.1,Yes,2024,Jul,2024-04-01,2024-07-01,38,132,41604,NA,1
Tonj North,2019-07-01,85.2710602728866,r24,Jul-19,9,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Tonj North,2019-12-01,103.26039044509702,r25,Dec-19,14.3,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Tonj North,2020-09-01,141.4923728992069,r26,Sep-20,13.9,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
