county,survey_date,avg_rain_3m,survey_round,raw_date,gam_percent,emergency_or_not_emergency,year,month,start_window,end_window,events_3m,fatalities_3m,displaced_3m,price_3m,wasting_binary
Luakpiny/Nasir,2025-07-01,NA,r31,Jul-25,84.4,Yes,2025,Jul,2025-04-01,2025-07-01,88,351,529397,NA,1
Maban,2025-07-01,NA,r31,Jul-25,16.9,Yes,2025,Jul,2025-04-01,2025-07-01,17,3,13457,30485.88866514415,1
Magwi,2025-07-01,NA,r31,Jul-25,5,No,2025,Jul,2025-04-01,2025-07-01,13,2,283291,NA,0
Maiwut,2025-07-01,NA,r31,Jul-25,10.9,No,2025,Jul,2025-04-01,2025-07-01,12,20,21801,NA,0
Malakal,2025-07-01,NA,r31,Jul-25,13.7,No,2025,Jul,2025-04-01,2025-07-01,26,17,542250,37098.43145245541,0
Manyo,2025-07-01,NA,r31,Jul-25,36.1,Yes,2025,Jul,2025-04-01,2025-07-01,5,8,27131,NA,1
Maridi,2025-07-01,NA,r31,Jul-25,10.8,No,2025,Jul,2025-04-01,2025-07-01,15,16,123025,NA,0
Mayendit,2025-07-01,NA,r31,Jul-25,14.6,No,2025,Jul,2025-04-01,2025-07-01,0,0,0,NA,0
Mayom,2025-07-01,NA,r31,Jul-25,39.3,Yes,2025,Jul,2025-04-01,2025-07-01,42,113,97931,NA,1
Melut,2025-07-01,NA,r31,Jul-25,31.4,Yes,2025,Jul,2025-04-01,2025-07-01,3,5,10994,NA,1
Morobo,2025-07-01,NA,r31,Jul-25,4.7,No,2025,Jul,2025-04-01,2025-07-01,123,102,200696,NA,0
